client_id,sector,total_assets,current_assets,cash,total_debt,current_liabilities,revenue,ebitda,net_income,interest_expense
CORP-0067,Technology,53178707.75,17113157.81,4154031.58,33390289.06,7588815.08,36279930.82,7737979.27,3939298.21,2996964.16
CORP-0068,Healthcare,463955935.88,255645852.39,75688951.41,39935962.27,229502248.5,293474173.75,31311128.67,11074935.6,2849736.51
CORP-0069,Technology,21046819.54,7416136.57,1066149.27,1692203.55,4648172.37,14278687.45,2833931.93,1091080.59,112119.37
CORP-0070,Real Estate,23417707.97,7522807.79,1170300.63,6196380.13,7595227.76,16209162.77,2777597.56,712967.13,280265.34
CORP-0071,Healthcare,21356345.65,8971068.9,1447337.62,7308249.57,5957369.09,14743272.94,1735115.66,603011.27,501105.62
CORP-0072,Technology,22851398.59,10810462.9,1855186.15,9602932.18,6534107.67,22089687.95,5274256.37,2370068.77,471962.04
CORP-0073,Technology,21054247.36,11716164.14,1967919.04,3911623.41,8146839.37,12190986.98,1101067.49,583132.29,309017.93
CORP-0074,Healthcare,130778620.41,77456614.15,16927735.02,7682949.32,43379671.11,110391317.04,21632029.55,6257806.92,349067.65
CORP-0075,Healthcare,164843030.37,71187092.39,21081124.52,129299464.71,46237220.8,172028839.81,34410776.74,12506576.38,7538497.89
CORP-0076,Healthcare,22505126.96,7159647.79,1656810.77,5840775.62,5545668.97,15694191.7,1827886.65,703498.88,301798.15
CORP-0077,Healthcare,17324711.09,9090876.62,3025372.58,10232882.02,7139760.82,11372221.4,2497604.39,650428.83,462394.83
CORP-0078,Technology,63809686.09,29961964.25,9461405.6,11272658.66,16423224.46,48105808.08,6614436.73,3036918.91,801709.2
CORP-0079,Manufacturing,22925879.87,9958254.91,1373821.67,7287274.57,8040556.54,23749951.58,3905315.72,1279385.21,495767.0
CORP-0080,Technology,74994986.14,29456580.42,3377270.2,9871294.95,15784585.28,62907408.73,10254919.92,3901596.73,771295.14
CORP-0081,Real Estate,48784491.39,21988124.41,7990098.94,35202649.4,11054393.12,33844589.27,4849407.18,1720594.22,1172314.17
CORP-0082,Energy,8747302.15,3512950.49,435427.82,2121947.35,4219687.09,7844364.77,1494668.51,479887.46,161188.55
CORP-0083,Retail,187165760.38,98655738.67,14255927.3,19457681.66,50510560.08,108470338.63,20574050.3,8215125.73,1898714.31
CORP-0084,Technology,239934774.89,111130135.96,11850915.77,154487942.56,47814996.31,224644188.07,14056750.94,5319623.36,8222680.01
CORP-0085,Retail,21578571.27,12149908.04,3505259.52,5607701.29,7589890.44,19026289.4,4094781.16,1485644.8,495873.49
CORP-0086,Retail,27025689.65,12514601.64,3437900.85,17238000.59,7193814.32,19956804.48,1334619.29,436625.82,966234.42
CORP-0087,Healthcare,53003334.82,19689611.19,7798485.96,27555166.45,10282843.79,33513099.09,6757156.03,2918770.22,1086055.31
CORP-0088,Energy,55642440.7,30899781.09,11311783.17,24153758.78,22233144.2,34646534.43,7148801.58,4041658.81,1338492.94
CORP-0089,Real Estate,76940601.47,35944010.98,8024606.6,36759772.86,22851888.05,69782314.68,6660839.07,2757512.26,2783562.47
CORP-0090,Manufacturing,297285804.5,107633012.68,22761772.33,72737373.46,110469857.84,310900335.08,40248935.27,20108843.86,3449741.07
CORP-0091,Technology,33366160.06,16251066.43,3072355.28,8137823.62,10447796.15,22440025.59,2125401.79,554682.7,414987.67
CORP-0092,Healthcare,17924924.91,7301091.32,1063930.18,6707303.89,4296668.34,15983249.38,2225730.59,925405.68,462153.97
CORP-0093,Healthcare,10025884.65,5547539.38,784561.29,5454996.47,3250895.09,3835849.29,516298.74,149862.51,327550.18
CORP-0094,Manufacturing,19174080.67,8359705.93,1167726.46,6994603.65,4340066.77,13097363.03,2475179.31,624506.32,481014.31
CORP-0095,Healthcare,38527122.32,19954445.22,2678573.52,2178492.67,16767326.42,30582375.6,6590974.05,2149071.84,138481.21
CORP-0096,Manufacturing,239618315.56,78753162.21,13557641.39,109324652.84,61193298.62,148099290.83,32549882.76,16899571.46,7346002.24
CORP-0097,Manufacturing,23733276.69,9939669.62,1908422.42,7247632.6,4401583.87,14541348.37,1772468.2,877374.56,387860.55
CORP-0098,Manufacturing,49813069.72,29637403.18,11513351.41,18511543.56,20583407.5,33197625.85,4632360.4,1965512.71,1175038.08
CORP-0099,Technology,39176087.42,21254519.52,5814003.25,12725951.42,13452112.48,33630263.51,2213816.03,546214.7,586531.53
CORP-0100,Technology,130697137.03,45480282.6,18022868.73,40971313.46,30871848.09,99661036.35,10933463.15,4158782.53,3250111.07
CORP-0101,Technology,498409420.07,191054891.66,40453978.88,178090904.24,163109688.81,175616429.86,34814654.44,14976219.93,8991075.89
CORP-0102,Energy,23420709.89,9343569.08,2217116.72,13142582.04,4347035.59,8802907.31,2031527.39,848271.62,1011094.48
CORP-0103,Retail,24411394.22,12086317.29,2385519.93,3678268.19,9377092.9,16566230.36,1462509.17,315347.16,207807.06
CORP-0104,Manufacturing,113142752.64,59637367.04,9235818.09,33194650.52,56846987.71,100870986.15,12142525.22,3775939.4,2092258.33
CORP-0105,Real Estate,78758084.41,41336809.3,5909072.6,10202086.73,31322791.15,19728823.86,2933275.85,1154514.57,536380.13
CORP-0106,Retail,252445849.37,114348431.58,43855340.35,78978310.73,163514305.5,176725717.74,28984441.75,13148185.96,3535074.6
CORP-0107,Manufacturing,71408551.23,38792421.35,15363474.86,26357095.12,31297208.85,49611121.58,5433401.3,980116.14,891623.47
CORP-0108,Healthcare,27804485.35,11987164.95,1360217.76,4761199.19,10772572.86,29963991.76,5129926.85,1968802.33,210302.82
CORP-0109,Retail,71890510.4,24238904.24,3517156.2,30215170.04,13874814.16,51976525.41,6565052.67,2719933.34,1666105.79
CORP-0110,Technology,120686107.57,56641918.92,12860957.08,52169411.24,46026604.92,105793176.02,15792528.82,7658763.71,3295968.85
CORP-0111,Retail,90465776.89,52984938.44,8260354.18,18308513.5,28561437.25,74928408.89,13285871.81,6234870.43,1375988.96
CORP-0112,Technology,66139323.1,35576215.93,7441267.83,23396064.68,17275093.01,24728613.52,3717232.72,1703448.4,1247329.33
CORP-0113,Real Estate,115718918.2,54805659.33,7603129.1,7516198.61,30238103.4,110354356.17,14145299.23,4526579.91,351537.03
CORP-0114,Healthcare,128224807.56,63348401.67,15010627.21,22553775.12,44805771.36,108103681.14,15623091.01,3268347.3,865146.53
CORP-0115,Energy,158641736.94,91880313.97,16677047.39,41314544.03,59032132.08,143039913.52,20824015.53,7511112.54,2776376.78
CORP-0116,Real Estate,76187646.46,32646622.75,6711215.76,18681791.84,36681350.32,120776279.23,15882014.11,7943598.72,1508515.79
CORP-0117,Healthcare,33695738.04,13458692.44,1726666.73,3196464.25,9304391.12,12911445.7,1769645.29,954450.14,252504.55
CORP-0118,Technology,46117990.74,27355922.45,6249143.57,6255486.21,23667883.65,52802301.41,12140957.7,5719057.74,441943.79
CORP-0119,Real Estate,133086382.32,74399671.59,29386180.16,37268627.96,41850927.01,98818035.77,17594153.27,7793050.13,2593082.18
CORP-0120,Manufacturing,17593926.74,6983259.57,1387223.91,10378088.09,2761162.84,15086190.13,2040044.91,893466.16,886956.62
CORP-0121,Healthcare,57579278.28,25285029.11,9176664.83,30497832.16,14874170.77,45539310.18,8417837.67,2899003.33,1981786.4
CORP-0122,Real Estate,26873767.63,11408544.24,4026756.84,9148348.31,16215823.33,19218848.37,2562045.95,991496.33,637566.19
CORP-0123,Retail,40986152.47,14129103.21,5448429.82,19135626.22,10423475.19,28117870.12,5866968.83,3326025.42,1056061.57
CORP-0124,Technology,143013825.11,83998569.11,28310277.45,84819705.55,54227737.86,123835921.02,20864137.22,6379088.93,3356260.57
CORP-0125,Retail,48211062.64,20311018.38,6050226.82,6206254.2,13232425.42,23939938.89,3462550.49,1944145.51,308713.15
CORP-0126,Manufacturing,41717720.48,23470336.35,8378331.14,26857563.62,19434319.01,39636666.77,6832800.35,2513084.73,1607763.98
CORP-0127,Healthcare,10222930.66,3647611.87,447537.92,5356684.26,2282444.0,7327399.22,523588.05,278833.26,326285.18
CORP-0128,Real Estate,83993801.8,39003466.23,9315946.59,45336413.8,38886818.79,48211277.43,4515546.66,1170964.78,4030148.22
CORP-0129,Technology,75942283.43,23328589.72,9256244.85,10128581.05,20791292.88,53918825.94,4869072.16,2232909.85,620063.2
CORP-0130,Manufacturing,346451959.97,183365293.33,60671916.58,87316763.21,104284425.88,364269930.0,57243983.06,18680027.5,6782997.7
CORP-0131,Manufacturing,29274335.39,13884061.11,5395660.11,16401773.87,12694176.21,20285152.54,4799989.43,1240669.02,877065.85
CORP-0132,Retail,49582590.28,24180282.68,8073562.0,18216252.58,14096950.49,43220684.0,11305018.53,4769060.55,1007811.66
CORP-0133,Technology,51104529.12,16124310.14,5844491.47,19592994.7,16933485.37,33412588.04,6077835.14,3044674.36,784991.09
CORP-0134,Retail,192855792.75,70066727.17,21857938.41,113180946.82,31762891.81,183518558.04,32123496.5,10135151.27,5530596.0
CORP-0135,Real Estate,36204879.76,11668806.02,3829125.71,10335958.64,9803313.57,33927648.86,2033864.61,508666.29,701860.39
CORP-0136,Retail,52641825.63,20355240.8,5230348.39,24015398.75,14430882.11,61576289.27,7565651.45,2956774.03,1443647.34
CORP-0137,Manufacturing,73140770.83,35709643.05,13472223.82,46621731.84,21877620.33,55944440.2,6188059.98,2421118.49,3456725.38
CORP-0138,Healthcare,47995082.86,22550767.83,7836655.06,32395210.05,17702704.76,44814494.84,5331025.65,2424720.86,2031789.0
CORP-0139,Manufacturing,25484128.01,12325269.73,4352859.92,5175483.43,7914195.09,20887135.56,2957468.2,1463826.85,283167.23
CORP-0140,Real Estate,48355474.16,22474433.95,6785092.97,12984977.77,12989930.88,51216878.22,6473581.45,2550969.68,1197532.47
CORP-0141,Real Estate,116526788.63,44502587.22,8516637.42,58479606.63,23618255.75,76468784.97,3902585.17,2285160.04,3426404.74
CORP-0142,Retail,14267356.17,5326749.52,589612.25,9995752.7,2932264.96,13539736.17,2537285.8,1071809.08,774121.21
CORP-0143,Manufacturing,45488480.41,15516935.14,5907243.5,8561875.4,10841331.2,34619487.5,3336032.44,1218843.97,462185.98
CORP-0144,Retail,19774013.52,10969065.74,3025664.37,9773493.54,7610286.44,15565359.24,2521002.06,602124.36,690438.6
CORP-0145,Retail,131569610.76,63803868.0,12087189.23,43029989.54,26152948.17,107670056.34,27316338.35,10209045.71,3180786.93
CORP-0146,Technology,8682439.5,3090543.02,447326.84,5348188.26,1643944.66,7383963.99,768159.46,281423.9,337617.11
CORP-0147,Energy,22772817.16,8042512.19,2805686.27,4846047.06,7109273.97,17688881.18,415434.41,206068.13,145381.41
CORP-0148,Manufacturing,58073027.72,32631854.52,11452347.04,35965225.34,21189581.07,48952231.1,6642807.43,2964341.94,2167760.33
CORP-0149,Technology,190568835.65,99633057.47,34308881.5,103783337.99,72940873.89,212603092.66,43593835.06,12296211.73,8142519.04
CORP-0150,Retail,37290521.57,18563957.15,5448981.95,10551965.87,12839331.74,37182003.81,9218064.7,3846011.09,716607.35
CORP-0151,Real Estate,22857742.85,9647321.4,2024052.56,2088437.43,9568838.39,22259576.71,1970473.83,920512.99,139272.84
CORP-0152,Retail,261294078.73,98924022.74,18916359.0,118977102.15,74087588.21,185229306.83,32384558.67,17902285.59,4064989.04
CORP-0153,Technology,9360283.15,5558465.89,570112.01,3016335.8,2498611.05,5823517.33,738040.42,360717.55,148383.13
CORP-0154,Manufacturing,4417984.01,2382052.71,833914.41,324059.88,1375612.57,4378487.72,633578.48,301637.0,21443.16
CORP-0155,Real Estate,61837123.75,24149484.88,3048384.87,38989010.13,47959851.71,60304141.79,17018864.07,6909805.17,2579347.17
CORP-0156,Retail,24105383.99,13360877.66,3864319.87,7380812.03,6725197.04,26384165.62,1974893.94,866645.08,577327.13
CORP-0157,Energy,14342922.64,7568467.46,1901369.2,8909823.31,3909631.63,9741768.63,1584858.95,831972.48,515228.34
CORP-0158,Healthcare,80870239.56,31468564.44,8119103.85,37359368.49,23202014.37,60983460.69,10573596.51,2820213.56,2468982.08
CORP-0159,Retail,50820009.04,21749228.69,8221509.75,31374790.29,12171449.3,23992287.24,4901367.96,1789274.11,1890193.49
CORP-0160,Healthcare,22655684.94,8060576.28,882508.19,694744.79,6971367.61,16346207.61,2532013.79,817190.04,31399.59
CORP-0161,Manufacturing,11069405.52,3689607.02,1225014.72,4255870.09,2812419.73,11061813.04,1829651.83,801232.55,127676.1
CORP-0162,Energy,95292086.58,49249676.64,5694036.8,70532771.0,23458722.31,67343005.65,8782711.26,4593553.12,4687970.88
CORP-0163,Energy,76301349.13,29013859.42,3233480.95,15413315.35,20853656.96,70814973.79,11575156.93,3939055.67,965015.47
CORP-0164,Manufacturing,36064665.04,19691949.41,4508379.45,14098597.36,26182365.86,27477645.89,3650141.09,587561.62,715184.83
CORP-0165,Technology,252428095.56,151124311.96,17972088.89,37500305.37,102479483.05,218302696.14,39529945.39,14182471.8,1339226.06
CORP-0166,Healthcare,13659082.37,4411691.62,1485607.09,9704051.21,3004084.05,7791983.65,1024797.66,503531.64,673908.44
CORP-0167,Retail,8662161.36,3827900.38,990924.47,2456541.37,1933920.41,7077348.69,1195045.85,542267.58,137593.83
CORP-0168,Technology,19937081.15,10778360.24,1171733.16,7648947.79,7158207.34,4022760.8,597528.26,264596.64,522829.45
CORP-0169,Technology,38050089.09,20420922.3,2290210.64,14402860.71,15338311.03,29017788.18,5986442.61,2226960.66,1266886.11
CORP-0170,Manufacturing,50796572.98,26820547.23,7611686.29,24426441.37,13983437.53,24072767.76,3549055.71,965687.15,732793.24
CORP-0171,Energy,31288586.55,12662443.44,4328447.93,6605086.93,8178203.08,32577642.01,1998585.45,902420.15,326991.35
CORP-0172,Technology,56630337.43,24699660.13,5714015.9,25880811.94,20583205.73,54109238.08,11530466.26,3650220.68,1471566.55
CORP-0173,Manufacturing,11392440.46,5451174.61,1452052.28,3915781.62,2778377.84,10177256.64,1065694.99,659036.09,320398.62
CORP-0174,Retail,168722279.41,99914326.41,33965758.98,14030811.5,63338549.53,186303351.06,21855559.67,9989099.3,497447.76
CORP-0175,Energy,36683910.89,14609887.74,4136816.77,2143554.73,9732331.43,22385134.9,2691072.31,920172.27,190857.64
CORP-0176,Technology,121727540.62,70229872.71,11758452.14,51016545.11,44699281.22,139922477.42,30604110.77,10370554.12,3164956.19
CORP-0177,Energy,56104430.72,21364964.18,6065846.79,3450700.69,19934975.53,55343559.99,2391743.3,934467.45,202073.0
CORP-0178,Manufacturing,62880912.59,37522445.28,10824619.01,20452648.52,29111121.74,47329767.6,14524910.59,5462089.83,1166396.21
CORP-0179,Real Estate,70404467.66,35278207.72,11297214.34,12060434.71,23496357.65,72314120.52,14665509.05,7504097.2,644703.26
CORP-0180,Technology,62314740.44,27359501.41,7831992.6,26334995.41,19238335.75,36064113.74,5812162.74,2433213.21,1994131.98
CORP-0181,Retail,75732864.07,36656003.39,14324163.19,37971941.61,18246155.35,48097727.47,7082645.29,2314869.31,1669709.38
CORP-0182,Technology,150451680.4,57436335.82,9143088.85,74754960.13,36192626.84,102048675.01,16764322.0,9874924.44,4872618.96
CORP-0183,Real Estate,48473177.89,18528976.82,7139718.83,24123175.16,10059372.1,33650296.2,5924340.63,2398948.19,1308375.29
CORP-0184,Real Estate,80922604.64,27033520.23,7069315.47,33344857.76,17977305.98,47638204.43,8682576.26,4140581.42,1619492.99
CORP-0185,Retail,36406733.64,12167679.74,3669612.11,19785632.88,6329041.51,38031078.8,6761173.68,2293236.97,1954615.31
CORP-0186,Energy,168108004.62,67966322.2,8824643.91,68885793.45,40967973.09,125783304.35,19430883.36,8477919.08,4566147.24
CORP-0187,Healthcare,20248832.55,10708729.61,2293518.42,5407680.6,7113694.61,17626628.85,2470073.77,1064875.97,374206.0
CORP-0188,Manufacturing,241152587.18,116329922.15,38483537.08,13926229.32,77828963.85,165413728.22,23560925.34,4972181.55,1073247.86
CORP-0189,Manufacturing,38257189.04,12654535.79,3949142.8,23636853.14,11316632.06,16675518.31,2338817.92,1406863.32,914267.59
CORP-0190,Retail,9523042.04,5291677.89,592889.2,6866422.9,3107694.77,8132787.15,1680953.62,889332.79,592465.03
CORP-0191,Technology,45267704.67,21747071.04,5740754.39,12401745.95,14655169.28,18901485.04,3396177.93,1223576.58,372052.38
CORP-0192,Real Estate,20154705.5,11856140.0,1499605.58,5327592.66,9125700.93,15847104.6,316942.09,91841.27,258220.45
CORP-0193,Real Estate,92308201.17,46251544.84,18443123.97,5826952.04,23809280.82,48585220.96,8881137.35,3861129.18,309495.79
CORP-0194,Energy,20735878.54,7310484.97,2698950.46,5746760.29,7311116.73,24830285.58,3966310.6,1620911.24,394950.99
CORP-0195,Retail,25490504.46,11270244.41,1198299.7,8926927.15,8467490.99,25038622.68,3732371.33,1625697.39,564902.86
CORP-0196,Retail,6019166.0,2976774.21,1064479.2,1013283.47,1557633.65,4942642.72,645381.01,270516.45,58261.55
CORP-0197,Healthcare,25334905.85,7815296.82,2937214.25,4241195.38,4805837.36,26671102.62,5499731.68,2478311.63,253708.48
CORP-0198,Real Estate,3527573.06,1074051.03,221323.75,1252033.5,725290.45,2224970.16,439156.43,239221.93,56754.25
CORP-0199,Real Estate,8170961.74,2768492.61,874429.77,2573411.1,1729873.88,7424919.24,826810.17,377695.42,96609.75
CORP-0200,Healthcare,85191707.41,31989429.1,7441736.84,15475884.74,20352543.47,71557804.33,12190059.04,3596487.37,1097204.24
CORP-0201,Energy,87382025.24,37475069.28,11113971.75,53436778.65,41949627.02,74519742.08,7557580.85,4052800.23,3762248.02
CORP-0202,Technology,60943487.71,27194943.07,5495968.04,1170244.11,19991941.57,64263122.15,5206539.79,2936808.42,98028.32
CORP-0203,Technology,15142620.22,5169815.96,1017253.16,8953191.7,2408364.44,14332466.12,1700749.75,1216385.87,431093.88
CORP-0204,Real Estate,37969305.6,19061254.88,4333198.25,7058324.82,15418354.84,32567971.88,6289516.1,1809183.06,496851.21
CORP-0205,Energy,39681572.17,19001180.31,2729905.8,12957100.74,13842400.21,18611550.69,3678689.36,1560824.49,722285.79
CORP-0206,Technology,12504952.34,4856163.56,1696460.38,5157841.14,3783969.41,7602895.24,1335481.02,256132.08,401574.68
CORP-0207,Technology,179089869.45,54460864.86,11143203.17,62235169.2,37169731.91,138876710.18,25866452.4,11777381.59,4688140.55
CORP-0208,Energy,95760638.85,30958875.85,6812341.69,29045724.97,24439593.17,78396790.72,13782854.67,4757565.36,1834764.45
CORP-0209,Technology,31929337.83,13330767.79,4908607.11,8789134.99,7866167.78,18326138.95,2161126.8,1280131.75,482585.45
CORP-0210,Technology,40910030.65,14162737.82,3526339.64,13521771.44,8969858.95,52460377.86,9001997.67,2903490.85,1006208.87
CORP-0211,Manufacturing,49051572.76,20260550.13,5334120.1,25154684.36,11197268.08,54117560.88,10283444.69,2376315.84,1753371.25
CORP-0212,Energy,5169389.38,2525012.96,977052.34,2478543.0,2338790.22,4758028.32,893151.22,315169.51,123266.36
CORP-0213,Energy,31103242.04,14437230.07,5284284.85,4524911.46,10585536.47,25330709.62,5305407.41,1074086.22,181372.12
