client_id,sector,total_assets,current_assets,cash,total_debt,current_liabilities,revenue,ebitda,net_income,interest_expense,current_ratio,debt_to_ebitda,interest_coverage,liq_score,lev_score,solv_score,total_credit_score,pd,risk_grade
CORP-0012,Real Estate,49017487.84,27162905.46,10828893.71,10208489.88,15498921.64,26155703.415749997,4073784.9115000004,1169204.3576000002,837146.5864,1.752567442492083,2.5058981025684917,4.8662742913622665,4,4,4,4.0,0.015,BB
CORP-0013,Healthcare,52251483.31,20531048.31,2652124.13,15990642.16,11283106.77,35236122.6766,5003295.4556,1704001.9425599999,1255340.7348,1.8196272293185078,3.1960219623053194,3.9856075063135123,4,3,3,3.2,0.06,B
CORP-0014,Retail,11108836.43,3986569.2,1421962.61,7099233.86,2653374.39,5496669.7338,1009007.19745,303455.67224000004,630540.9857999999,1.502452580768295,7.03586047546682,1.6002246010539989,4,1,2,2.0,0.12,CCC-C
CORP-0015,Technology,13510037.15,6274547.88,1530957.8,8814309.2,4914481.39,9758003.5735,1567719.2076,502658.4617600001,709087.5659999999,1.2767466965624221,5.622377500556177,2.210896485526585,3,2,3,2.6,0.06,B
CORP-0016,Technology,114164717.44,49764905.52,17325405.95,41149633.0,26223088.6,65483282.3099,7360421.341,2163604.06808,4160855.5999999996,1.8977514921716736,5.5906626935584285,1.7689682239873936,4,2,2,2.4000000000000004,0.12,CCC-C
CORP-0017,Retail,38280257.3,21564321.75,7442670.86,14225593.3,12601765.0,28184742.005349997,3778088.6611999995,1159318.53464,1218816.7689999999,1.7112144013160062,3.765288370835018,3.099800361542285,4,3,3,3.2,0.06,B
CORP-0018,Manufacturing,78727312.38,25980761.1,9737526.92,16195732.7,21784503.78,29110234.31845,3207910.1893499997,1080961.3742,1494171.611,1.1926257931958273,5.048686448195624,2.1469489620426203,2,2,3,2.4,0.12,CCC-C
CORP-0019,Manufacturing,40968677.78,15458384.19,2927122.39,19421014.41,10172412.96,24906573.54465,5075968.58215,1220929.33804,1793812.6423,1.519637892286276,3.826070649510196,2.8297094481626957,4,3,3,3.2,0.06,B
CORP-0020,Retail,41027623.41,21561644.22,8299935.14,2537977.16,22476037.12,28410738.15615,4291884.709,1024600.32276,235839.8148,0.9593169874601096,0.5913432750600012,18.198304271226046,2,5,5,4.4,0.005,A-BBB
CORP-0021,Energy,101775890.9,33432972.4,4864500.43,20874417.0,18842311.78,72388292.501,17739441.248,3706063.6752,1871142.31,1.7743561825299548,1.1767234778239393,9.480540925826213,4,5,5,4.8,0.0005,AAA-AA
CORP-0022,Technology,23770485.68,9418563.48,1173464.79,9766623.9,6751142.65,28955592.283800002,4255515.355,816966.6523200001,953798.827,1.3951065720704332,2.2950507953225325,4.461648761285382,3,4,4,3.8000000000000003,0.015,BB
CORP-0023,Retail,43842787.28,18245027.66,4186953.88,15904255.23,13762398.76,30703884.501149997,3518040.696449999,783177.01672,1241568.4369,1.3257156676079338,4.520770679557158,2.833545531516563,3,2,3,2.6,0.06,B
CORP-0024,Manufacturing,25083597.67,12210146.99,4255198.26,9556346.13,8212089.52,12549897.88805,932636.6335,310341.37052000005,1060670.9838999999,1.4868502054517303,10.246590994540856,0.8792892873063916,3,1,1,1.4000000000000001,0.25,D
CORP-0025,Manufacturing,25790164.92,8960529.58,2168684.17,8129322.66,5910159.74,16816669.707,1006360.2364,250158.01072,702795.7098000001,1.5161230785955033,8.077945020046302,1.4319385027071205,4,1,2,2.0,0.12,CCC-C
CORP-0026,Healthcare,29233558.66,16317627.15,5691359.96,2256229.11,8782493.46,12221547.851,865202.5173999999,312415.24912,158673.2933,1.8579720240406532,2.6077468160635293,5.452729311946536,4,4,4,4.0,0.015,BB
CORP-0027,Technology,49730738.05,21596203.12,6887159.65,31171687.69,12437084.05,35474469.4213,5794979.2264,1870486.5888800002,2893390.3507,1.7364362123129657,5.379085320615499,2.002833535750894,4,2,3,2.8,0.06,B
CORP-0028,Manufacturing,24673772.08,14190047.04,2310544.3,6274174.58,9871774.6,13049455.659349998,2289347.5810499997,372063.99604000006,484568.8874,1.4374362883042324,2.7405950201421034,4.724503864318879,3,4,4,3.8000000000000003,0.015,BB
CORP-0029,Manufacturing,139804576.82,61564479.63,23681669.0,51863220.12,34098917.77,114761407.58579999,8141227.605299999,3031777.25828,5185285.6836,1.805467259848464,6.370442227439589,1.5700634645934821,4,1,2,2.0,0.12,CCC-C
CORP-0030,Technology,16279101.03,6226952.76,736239.72,10751898.19,3750510.08,10223009.6059,1990950.7072,766245.03592,1324032.6457,1.660294900473911,5.4003839226743455,1.503702128241263,4,2,2,2.4000000000000004,0.12,CCC-C
CORP-0031,Energy,33036658.15,11316662.6,4181324.77,17740629.03,8512864.36,21809143.0815,2744614.079,660054.9472,1387342.3609,1.3293601450029446,6.463797284193703,1.978325002070511,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0032,Technology,25655510.52,7725477.85,1478139.12,17425291.36,5327501.55,15709599.578399999,2471742.91,874046.1693600002,1655151.4908,1.4501127362412498,7.049799268970088,1.493363552362998,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0033,Technology,169265303.36,77802330.45,19454038.98,44995958.25,54002738.13,176792691.53,40770344.942600004,10252932.09304,2864776.3975,1.4407108443780683,1.1036442863887754,14.231597613754078,3,5,5,4.6,0.005,A-BBB
CORP-0034,Real Estate,48474806.94,16100762.14,3650132.33,12947663.3,9459326.26,27640692.238500003,5385566.81425,1765462.2078000002,1253444.879,1.7021045365655885,2.4041412439153085,4.296612403527957,4,4,4,4.0,0.015,BB
CORP-0035,Real Estate,111757794.61,46660927.67,7071480.72,66551644.88,34482145.72,101034225.38325001,13798594.504250001,3019686.1796000004,5105462.3864,1.353190954208403,4.823074180453808,2.7027120092015338,3,2,3,2.6,0.06,B
CORP-0036,Healthcare,9015353.51,4298354.02,891668.01,3152577.31,3198569.6,8159440.6306,860334.5957999999,151893.35168,254184.3693,1.343836326087761,3.664361895232762,3.3846872574001345,3,3,3,3.0000000000000004,0.06,B
CORP-0037,Retail,52015393.72,19906591.26,3142859.21,10875370.46,8702323.85,37534970.9455,1591829.20995,460634.98124,799129.8637999999,2.2875029248652936,6.831995789511615,1.9919531005643794,5,1,2,2.2,0.12,CCC-C
CORP-0038,Technology,96942715.06,34178830.11,5508463.37,68777907.19,18220020.21,77080067.1823,8790390.7728,2725914.98088,6945349.0857,1.8758941930943114,7.824214982890026,1.2656513969756849,4,1,2,2.0,0.12,CCC-C
CORP-0039,Energy,43240321.64,23021860.14,3594104.91,10153397.31,19252914.68,32298165.428,4503768.843,1297921.4400000002,1067219.1793,1.195759734182752,2.254422387991994,4.220097361775365,2,4,4,3.6,0.03,BB
CORP-0040,Manufacturing,115580795.91,67503501.95,16653465.9,39687481.8,39056019.3,40000049.192549996,4025645.8963499996,906887.66836,3585794.864,1.7283763977963829,9.85866189472455,1.1226648620549755,4,1,2,2.0,0.12,CCC-C
CORP-0041,Technology,23740940.19,7837647.04,2659936.03,8043803.72,5065239.0,16078390.828500003,2306238.5801,664215.3336,619643.1516,1.5473400248241,3.487845442101318,3.7218818188258664,4,3,3,3.2,0.06,B
CORP-0042,Manufacturing,163014129.68,56513265.3,15297632.87,74511201.18,34113586.26,131901478.04495,20292065.5582,6930624.722280001,8482567.1654,1.656620469899549,3.671937731833816,2.392208061843636,4,3,3,3.2,0.06,B
CORP-0043,Technology,396782219.89,233309451.95,85849007.09,83359282.52,150044357.1,285326377.0721,39591089.4288,12526959.4996,6564030.6756,1.5549365298323505,2.1055061561241457,6.031521085964622,4,4,5,4.4,0.005,A-BBB
CORP-0044,Real Estate,27706052.24,8625871.16,2509812.34,1604508.85,4365635.22,11143251.57575,1309330.62425,438102.13700000005,96270.5355,1.9758570575211734,1.2254420848966865,13.600533303878839,4,5,5,4.8,0.0005,AAA-AA
CORP-0045,Retail,25507867.16,15133554.88,4643005.43,11030824.43,9237645.1,16211853.598849999,2568488.27935,684221.60604,1068620.3329,1.638248137504222,4.2946757899131,2.403555500745236,4,3,3,3.2,0.06,B
CORP-0046,Energy,170353198.36,51343320.27,15417483.57,69358428.19,34805148.55,165191145.1365,28428905.868499998,11762102.541600002,5092877.015699999,1.4751645204513861,2.43971500383527,5.58209157237867,3,4,4,3.8000000000000003,0.015,BB
CORP-0047,Retail,193264861.55,108634294.0,25511434.04,23304832.16,56672565.63,163260407.96099997,15588111.27895,3521449.94068,2443025.3248,1.9168762308952836,1.4950388628204476,6.380658898910977,4,5,5,4.8,0.0005,AAA-AA
CORP-0048,Manufacturing,23609033.52,9259405.2,2840800.76,7511112.45,5811412.63,15526370.65145,3424288.5489499997,1229336.10468,633058.6035,1.5933140166644817,2.1934811691915264,5.4091177815420055,4,4,4,4.0,0.015,BB
CORP-0049,Manufacturing,26161860.0,15215127.09,1839696.38,3114178.45,9825139.66,21633033.5076,3138317.0058,1300993.35312,308477.1235,1.5485914314219529,0.9923084392827785,10.173581010457005,4,5,5,4.8,0.0005,AAA-AA
CORP-0050,Technology,30045257.65,11870388.15,4249070.03,14715165.6,7302117.45,19868800.3605,2999046.0227,1075075.9656,1633714.548,1.6256090416622921,4.906615466591652,1.8357221745815049,4,2,2,2.4000000000000004,0.12,CCC-C
CORP-0051,Real Estate,10381640.72,5152324.16,1717494.51,1358557.65,3522820.86,3694824.9387499997,685060.15725,208119.94460000005,97635.6195,1.462556390108352,1.9831216800778262,7.016498289848,3,4,5,4.2,0.015,BB
CORP-0052,Healthcare,15892344.19,5149274.8,893754.41,7054572.99,3424423.96,9188959.6694,1485494.6335999998,412575.68576,575024.8997,1.5036907988460635,4.748972382958867,2.5833570587552073,4,2,3,2.8,0.06,B
CORP-0053,Real Estate,14590179.64,5437744.54,1796683.74,7191913.52,4297517.81,12580349.699749999,2486592.0647500004,1001815.6478000002,639108.9156,1.2653221651221034,2.892277194137619,3.8907172221429116,3,4,3,3.4000000000000004,0.03,BB
CORP-0054,Real Estate,18480051.94,9833305.94,1020626.16,6387455.2,8197611.08,10672804.217,1754141.634,361637.3572000001,722186.566,1.1995331132493785,3.6413565907073155,2.4289314099481603,2,3,3,2.8000000000000003,0.06,B
CORP-0055,Manufacturing,38467147.09,17641255.08,2913876.17,26464255.48,16029171.7,24132552.266999997,2880898.98905,698301.27492,2120428.8644,1.1005718455183806,9.18611016234443,1.358639772084589,2,1,2,1.6,0.25,D
CORP-0056,Real Estate,50335176.9,29113399.13,3480249.84,1284598.46,30866404.56,28868486.33725,4852075.92575,1398345.861,104158.38379999998,0.9432066852298135,0.26475234098927164,46.58363300900221,2,5,5,4.4,0.005,A-BBB
CORP-0057,Technology,187727216.83,80464657.63,26880673.28,103557846.2,70084263.26,201722817.6145,18722638.9896,7845016.037040001,10062934.276,1.1481130554442813,5.531156492283168,1.8605546330808609,2,2,2,2.0,0.12,CCC-C
CORP-0058,Technology,14674853.77,8231766.92,2689830.64,6015338.12,5755300.38,15025942.640800001,2335451.9916,818298.9651200002,489297.04360000003,1.4302931865391186,2.5756633583715582,4.773076032540327,3,4,4,3.8000000000000003,0.015,BB
CORP-0059,Technology,106571043.78,46325008.01,15940009.4,59052696.27,30056835.16,120619025.90010001,17892445.4254,4339926.063200001,5449848.6381,1.5412470329427723,3.3004262338656725,3.2831086904530813,4,3,3,3.2,0.06,B
CORP-0060,Retail,32152834.06,19091532.44,1934821.96,21403044.63,13720293.2,19883110.693949997,2775566.07685,819278.78088,1428159.6489,1.3914813744650882,7.711235847892475,1.9434564468949966,3,1,2,1.8000000000000003,0.12,CCC-C
CORP-0061,Manufacturing,37902828.21,22284979.77,5579486.33,13143974.16,39957390.0,27190324.94735,3903799.90745,1057360.3998,1619534.1047999999,0.5577186039929034,3.3669692278326253,2.41044624863401,1,3,3,2.6000000000000005,0.06,B
CORP-0062,Retail,78203072.28,31182772.15,9711901.18,26139233.32,14640936.43,31267195.334199995,1748072.2153999996,460122.11251999997,1824109.7096,2.12983454296714,14.953177042527809,0.9583152845468521,5,1,1,1.8,0.25,D
CORP-0063,Healthcare,12958700.56,7331736.04,1074981.62,8418693.46,3789809.87,13343103.2016,1635380.8296,651390.4388799999,717051.3538,1.9345920485451689,5.147848933791856,2.2807025200263977,4,2,3,2.8,0.06,B
CORP-0064,Manufacturing,58375669.7,32356665.39,9543184.88,13999286.29,19279383.56,27610571.821799997,4269760.818349999,897762.25396,1253115.0987,1.6783039400249373,3.2787050342107604,3.407317350800028,4,3,3,3.2,0.06,B
CORP-0065,Retail,47037335.1,17084153.87,2139500.35,22729014.07,7549351.32,31933687.525249995,5045293.32965,2263835.57372,2697714.0021,2.2629962689297654,4.504993582122756,1.8702106026519332,5,2,2,2.6,0.06,B
CORP-0066,Manufacturing,65166185.43,31754642.84,4902845.62,28148822.81,28632179.07,31589339.53225,3115221.98295,1203280.5843200001,1974001.3142999997,1.1090543532284496,9.035896306607372,1.5781255870413078,2,1,2,1.6,0.25,D
CORP-0067,Technology,53178707.75,17113157.81,4154031.58,33390289.06,7588815.08,33014737.0462,7041561.1356999995,2867809.0968800006,3998672.8318,2.2550500479450344,4.741887262856332,1.7609745612846865,5,2,2,2.6,0.06,B
CORP-0068,Healthcare,463955935.88,255645852.39,75688951.41,39935962.27,229502248.5,275865723.325,29432460.9498,8328351.5712,4047815.3781,1.1139143692964733,1.356867926814369,7.2711964851557225,2,5,5,4.4,0.005,A-BBB
CORP-0069,Technology,21046819.54,7416136.57,1066149.27,1692203.55,4648172.37,12993605.579499999,2578878.0563000003,794306.6695200001,162885.4765,1.5954951709331726,0.6561781957336359,15.832461627111368,4,5,5,4.8,0.0005,AAA-AA
CORP-0070,Real Estate,23417707.97,7522807.79,1170300.63,6196380.13,7595227.76,12562101.14675,2152638.109,442039.6206000001,466156.7439,0.99046506934507,2.8785052648159724,4.617841825027387,2,4,4,3.6,0.03,BB
CORP-0071,Healthcare,21356345.65,8971068.9,1447337.62,7308249.57,5957369.09,13858676.563599998,1631008.7203999998,453464.47504,720353.1071,1.5058776390166553,4.480815754441629,2.2641794757658786,4,3,3,3.2,0.06,B
CORP-0072,Technology,22851398.59,10810462.9,1855186.15,9602932.18,6534107.67,20101616.0345,4799573.2967,1725410.0645600003,760050.0053999999,1.654466599874685,2.000788733990708,6.314812528912588,4,4,5,4.4,0.005,A-BBB
CORP-0073,Technology,21054247.36,11716164.14,1967919.04,3911623.41,8146839.37,11093798.151800001,1001971.4159,424520.30712000007,426366.6323,1.438123867170343,3.9039271459520286,2.3500230552633705,3,3,3,3.0000000000000004,0.06,B
CORP-0074,Healthcare,130778620.41,77456614.15,16927735.02,7682949.32,43379671.11,103767838.0176,20334107.777,4705870.80384,579556.1296,1.7855509774057392,0.37783557578514554,35.08565734786424,4,5,5,4.8,0.0005,AAA-AA
CORP-0075,Healthcare,164843030.37,71187092.39,21081124.52,129299464.71,46237220.8,161707109.42139998,32346130.1356,9404945.437760001,11417481.8313,1.5396057798958367,3.9973704479626018,2.8330353937525867,4,3,3,3.2,0.06,B
CORP-0076,Healthcare,22505126.96,7159647.79,1656810.77,5840775.62,5545668.97,14752540.197999999,1718213.451,529031.15776,477021.41860000003,1.291034107648874,3.3993306341541385,3.6019628972693676,3,3,3,3.0000000000000004,0.06,B
CORP-0077,Healthcare,17324711.09,9090876.62,3025372.58,10232882.02,7139760.82,10689888.116,2347748.1266,489122.48016,769381.2906,1.2732746725260746,4.3585944778579035,3.05147545863653,3,3,3,3.0000000000000004,0.06,B
CORP-0078,Technology,63809686.09,29961964.25,9461405.6,11272658.66,16423224.46,43776285.3528,6019137.424300001,2210876.9664800004,1139888.9597999998,1.8243655089154154,1.8728030057082408,5.28045944523938,4,4,4,4.0,0.015,BB
CORP-0079,Manufacturing,22925879.87,9958254.91,1373821.67,7287274.57,8040556.54,19831209.569299996,3260938.6262,854629.32028,714385.2371,1.2385031882382609,2.2347168730654476,4.56467807122886,3,4,4,3.8000000000000003,0.015,BB
CORP-0080,Technology,74994986.14,29456580.42,3377270.2,9871294.95,15784585.28,57245741.944299996,9331977.1272,2840362.4194400003,1067433.9885,1.866161188113268,1.0577924501366431,8.742439558546996,4,5,5,4.8,0.0005,AAA-AA
CORP-0081,Real Estate,48784491.39,21988124.41,7990098.94,35202649.4,11054393.12,26229556.684250005,3758290.5645,1066768.4164000002,2228393.652,1.9890847169365007,9.366665188827232,1.6865469712350447,4,1,2,2.0,0.12,CCC-C
CORP-0082,Energy,8747302.15,3512950.49,435427.82,2121947.35,4219687.09,6667710.0545,1270468.2335,326323.47280000005,224846.9705,0.832514453103678,1.6702088994025996,5.650368473610366,2,4,4,3.6,0.03,BB
CORP-0083,Retail,187165760.38,98655738.67,14255927.3,19457681.66,50510560.08,87318622.59714998,16562110.4915,5290540.970120001,2482444.7598,1.9531705551026628,1.174831050063702,6.671693469156726,4,5,5,4.8,0.0005,AAA-AA
CORP-0084,Technology,239934774.89,111130135.96,11850915.77,154487942.56,47814996.31,204426211.1437,12791643.3554,3872685.806080001,12857318.2868,2.3241690794977288,12.077255303931127,0.9948920194759877,5,1,1,1.8,0.25,D
CORP-0085,Retail,21578571.27,12149908.04,3505259.52,5607701.29,7589890.44,15316162.966999998,3296298.8337999997,956755.2512,664104.5287,1.6008015051136888,1.7012114412986632,4.963524101021537,4,4,4,4.0,0.015,BB
CORP-0086,Retail,27025689.65,12514601.64,3437900.85,17238000.59,7193814.32,16065227.6064,1074368.5284499999,281187.02808,1483374.4377000001,1.7396336746150545,16.04477433350491,0.7242733197666723,4,1,1,1.6,0.25,D
CORP-0087,Healthcare,53003334.82,19689611.19,7798485.96,27555166.45,10282843.79,31502313.144599997,6351726.6682,2194915.20544,1912710.3035,1.9148021298493345,4.338216659724243,3.320799107202593,4,3,3,3.2,0.06,B
CORP-0088,Energy,55642440.7,30899781.09,11311783.17,24153758.78,22233144.2,29449554.265499998,6076481.343,2748327.9908000003,2063105.7034,1.3898070741609279,3.9749581075937486,2.9453078109308475,3,3,3,3.0000000000000004,0.06,B
CORP-0089,Real Estate,76940601.47,35944010.98,8024606.6,36759772.86,22851888.05,54081293.877000004,5162150.279250001,1709657.6012000002,3886355.6558,1.572912089423613,7.121019511532074,1.3282753140583015,4,1,2,2.0,0.12,CCC-C
CORP-0090,Manufacturing,297285804.5,107633012.68,22761772.33,72737373.46,110469857.84,259601779.79179996,33607860.95045,13432707.69848,5631862.2738,0.9743201881900784,2.164296429553814,5.967450785648153,2,4,4,3.6,0.03,BB
CORP-0091,Technology,33366160.06,16251066.43,3072355.28,8137823.62,10447796.15,20420423.2869,1934115.6289000001,403809.00560000003,659122.3785999999,1.555454011227047,4.207516602628493,2.9343801571540213,4,3,3,3.2,0.06,B
CORP-0092,Healthcare,17924924.91,7301091.32,1063930.18,6707303.89,4296668.34,15024254.4172,2092186.7545999996,695905.0713600001,663373.0867,1.6992447967254556,3.2058820156723313,3.1538613738578727,4,3,3,3.2,0.06,B
CORP-0093,Healthcare,10025884.65,5547539.38,784561.29,5454996.47,3250895.09,3605698.3326,485320.8156,112696.60752,491200.07409999997,1.7064652123240311,11.239980430791974,0.9880308273349261,4,1,1,1.6,0.25,D
CORP-0094,Manufacturing,19174080.67,8359705.93,1167726.46,6994603.65,4340066.77,10936298.13005,2066774.72385,417170.22176,690852.4195,1.9261698893171637,3.3843086860334792,2.9916298553977927,4,3,3,3.2,0.06,B
CORP-0095,Healthcare,38527122.32,19954445.22,2678573.52,2178492.67,16767326.42,28747433.064,6195515.607,1616102.0236799999,203835.9901,1.190079128906229,0.3516241114038404,30.394610902424734,2,5,5,4.4,0.005,A-BBB
CORP-0096,Manufacturing,239618315.56,78753162.21,13557641.39,109324652.84,61193298.62,123662907.84305,27179152.1046,11288913.735280002,10625741.8252,1.2869572973838814,4.0223717215040375,2.5578592583665025,3,3,3,3.0000000000000004,0.06,B
CORP-0097,Manufacturing,23733276.69,9939669.62,1908422.42,7247632.6,4401583.87,12142025.88895,1480010.947,586086.20608,605289.5279999999,2.258202936389804,4.897012832703054,2.4451289482741556,5,2,3,3.0,0.06,B
CORP-0098,Manufacturing,49813069.72,29637403.18,11513351.41,18511543.56,20583407.5,27720017.58475,3868020.9340000004,1312962.49028,1730384.3868,1.4398686505137694,4.78579197886006,2.2353535801101003,3,2,3,2.6,0.06,B
CORP-0099,Technology,39176087.42,21254519.52,5814003.25,12725951.42,13452112.48,30603539.794099998,2014572.5872999998,397644.3016,968310.0726000001,1.5800135147249377,6.31694856776333,2.080503595186912,4,1,3,2.4000000000000004,0.12,CCC-C
CORP-0100,Technology,130697137.03,45480282.6,18022868.73,40971313.46,30871848.09,90691543.0785,9949451.466500001,3027593.68184,4479250.4738,1.4731959831951869,4.117946964006128,2.221231325351476,3,3,3,3.0000000000000004,0.06,B
CORP-0101,Technology,498409420.07,191054891.66,40453978.88,178090904.24,163109688.81,159810951.17260003,31681335.5404,10902688.109040001,14333803.0172,1.1713276694589998,5.621319341569383,2.210253308377661,2,2,3,2.4,0.12,CCC-C
CORP-0102,Energy,23420709.89,9343569.08,2217116.72,13142582.04,4347035.59,7482471.213500001,1726798.2814999998,576824.7016,1405371.9412,2.1494116821804075,7.610953856511584,1.2287126495677327,5,1,2,2.2,0.12,CCC-C
CORP-0103,Retail,24411394.22,12086317.29,2385519.93,3678268.19,9377092.9,13335815.439799998,1177319.8818499998,203083.57103999998,318155.10569999996,1.288919435788036,3.1242725504814346,3.700458866626323,3,3,3,3.0000000000000004,0.06,B
CORP-0104,Manufacturing,113142752.64,59637367.04,9235818.09,33194650.52,56846987.71,84227273.43525,10139008.5587,2522327.5192,3088097.8456,1.0490857905125048,3.2739542853543204,3.2832536615205754,2,3,3,2.8000000000000003,0.06,B
CORP-0105,Real Estate,78758084.41,41336809.3,5909072.6,10202086.73,31322791.15,15289838.4915,2273288.78375,715799.0334000002,842442.7319,1.3197038891599544,4.487809381248393,2.698449043085631,3,3,3,3.0000000000000004,0.06,B
CORP-0106,Retail,252445849.37,114348431.58,43855340.35,78978310.73,163514305.5,142264202.7807,23332475.608749997,8467431.758240001,5904423.9219,0.699317599339955,3.3849091735633086,3.951693834551395,1,3,3,2.6000000000000005,0.06,B
CORP-0107,Manufacturing,71408551.23,38792421.35,15363474.86,26357095.12,31297208.85,41425286.5193,4536890.0855,654717.58152,1682336.3236,1.2394850140126792,5.809507090382871,2.696779485680719,3,2,3,2.6,0.06,B
CORP-0108,Healthcare,27804485.35,11987164.95,1360217.76,4761199.19,10772572.86,28166152.2544,4822131.238999999,1480539.35216,353138.7957,1.1127485611640597,0.9873640832279308,13.655059420592567,2,5,5,4.4,0.005,A-BBB
CORP-0109,Retail,71890510.4,24238904.24,3517156.2,30215170.04,13874814.16,41841102.95504999,5284867.39935,1751637.07096,2572560.8912,1.7469714520486233,5.71729955679044,2.054321597373275,4,2,3,2.8,0.06,B
CORP-0110,Technology,120686107.57,56641918.92,12860957.08,52169411.24,46026604.92,96271790.1782,14371201.226200001,5575579.980880001,4861051.1872000005,1.230634304191038,3.6301357429252636,2.956397839224959,3,3,3,3.0000000000000004,0.06,B
CORP-0111,Retail,90465776.89,52984938.44,8260354.18,18308513.5,28561437.25,60317369.156449996,10695126.807049999,4015256.55692,1925244.365,1.855121574457882,1.7118556731773782,5.55520483606246,4,4,4,4.0,0.015,BB
CORP-0112,Technology,66139323.1,35576215.93,7441267.83,23396064.68,17275093.01,22503038.3032,3382681.7752000005,1240110.4352000002,1949211.2704,2.059393596862608,6.916424965400924,1.735410535824491,5,1,2,2.2,0.12,CCC-C
CORP-0113,Real Estate,115718918.2,54805659.33,7603129.1,7516198.61,30238103.4,85524626.03175001,10962606.903250001,2806479.5442000004,577022.9883000001,1.812470134287589,0.685621465435537,18.998561800020404,4,5,5,4.8,0.0005,AAA-AA
CORP-0114,Healthcare,128224807.56,63348401.67,15010627.21,22553775.12,44805771.36,101617460.2716,14685705.549399998,2457797.1695999997,1541759.7836000002,1.4138446844495973,1.5357638108794482,9.525287730043756,3,4,5,4.2,0.015,BB
CORP-0115,Energy,158641736.94,91880313.97,16677047.39,41314544.03,59032132.08,121583926.492,17700413.2005,5107556.5272,4015813.1009,1.5564457987979214,2.33410054115759,4.407678533777653,4,4,4,4.0,0.015,BB
CORP-0116,Real Estate,76187646.46,32646622.75,6711215.76,18681791.84,36681350.32,93601616.40325001,12308560.93525,4925031.2064000005,2068969.5452,0.8900060239112811,1.5177884675777131,5.949126203334314,2,4,4,3.6,0.03,BB
CORP-0117,Healthcare,33695738.04,13458692.44,1726666.73,3196464.25,9304391.12,12136758.957999999,1663466.5725999998,717746.50528,348398.4775,1.4464882512376587,1.9215680691460624,4.774609190420472,3,4,4,3.8000000000000003,0.015,BB
CORP-0118,Technology,46117990.74,27355922.45,6249143.57,6255486.21,23667883.65,48050094.2831,11048271.507,4163474.034720001,629608.3763,1.1558246125652218,0.566195916350954,17.547847079047827,2,5,5,4.4,0.005,A-BBB
